Kota/Kabupaten,Tahun,Luas Panen Jahe,Luas Panen Kencur,Luas Panen Mengkudu,Luas Panen Temukunci,Produksi Jahe,Produksi Kencur,Produksi Mengkudu,Produksi Temukunci,Wilayah
Pacitan,2018,62,62,62,62,14217215,4385800,25278,48609,Kabupaten
Ponorogo,2018,12,12,12,12,5564974,885265,45493,952482,Kabupaten
Trenggalek,2018,25,25,25,25,2027930,342038,93416,90911,Kabupaten
Tulungagung,2018,70,70,70,70,57242,7771,65325,657,Kabupaten
Blitar,2018,1,1,1,1,233803,60322,39484,1555,Kabupaten
Kediri,2018,37.5,37.5,37.5,37.5,36856,5200,668,12354.5,Kabupaten
Malang,2018,597,597,597,597,7449728,643225,340038,578986,Kabupaten
Lumajang,2018,48,48,48,48,270364,3411,419,9621,Kabupaten
Jember,2018,96,96,96,96,433142,81494,49512,56160,Kabupaten
Banyuwangi,2018,52,52,52,52,34877,15917,350,6171,Kabupaten
Bondowoso,2018,37.5,37.5,37.5,37.5,1056064,3474,2165,35680,Kabupaten
Situbondo,2018,37.5,37.5,37.5,37.5,35073492,10881,14783,12354.5,Kabupaten
Probolinggo,2018,1,1,1,1,3336115,80119,15391,1009755,Kabupaten
Pasuruan,2018,30,30,30,30,1480877,1023551,255748,12478,Kabupaten
Sidoarjo,2018,429,429,429,429,787,33,502,12354.5,Kabupaten
Mojokerto,2018,39,39,39,39,515882,25461,51911,15306,Kabupaten
Jombang,2018,14,14,14,14,31562,7766,8313,12231,Kabupaten
Nganjuk,2018,22,22,22,22,208743,86002,14175,12354.5,Kabupaten
Madiun,2018,37.5,37.5,37.5,37.5,194558,54304,263,15636,Kabupaten
Magetan,2018,36,36,36,36,2219353,10881,1558,404,Kabupaten
Ngawi,2018,61,61,61,61,55540,7157,1409,1400,Kabupaten
Bojonegoro,2018,99,99,99,99,102776,160513,19299,41202,Kabupaten
Tuban,2018,19,19,19,19,8000,8875,1463,2154,Kabupaten
Lamongan,2018,148,148,148,148,10702,8899,29934,4288,Kabupaten
Gresik,2018,147,147,147,147,106251,35,14783,48,Kabupaten
Bangkalan,2018,5,5,5,5,3859,5873,6532,1362,Kabupaten
Sampang,2018,1,1,1,1,4673,6183,46044,4813,Kabupaten
Pamekasan,2018,22,22,22,22,2114765,782650,106665,554380,Kabupaten
Sumenep,2018,32,32,32,32,74287,55116,107366,17100,Kabupaten
Kediri,2018,37.5,37.5,37.5,37.5,194558,10881,14783,12354.5,Kota
Blitar,2018,37.5,37.5,37.5,37.5,194558,10881,14783,12354.5,Kota
Malang,2018,37.5,37.5,37.5,37.5,1482,2212,4889,407,Kota
Probolinggo,2018,3,3,3,3,33,9,50,12354.5,Kota
Pasuruan,2018,37.5,37.5,37.5,37.5,194558,10881,14783,12354.5,Kota
Mojokerto,2018,37.5,37.5,37.5,37.5,194558,10881,14783,12354.5,Kota
Madiun,2018,37.5,37.5,37.5,37.5,194558,10881,14783,12354.5,Kota
Surabaya,2018,41,41,41,41,2917,163,707,12354.5,Kota
Batu,2018,68,68,68,68,312200,10881,14783,12354.5,Kota
Pacitan,2019,69,69,69,69,14398170,1134884,27318,32907,Kabupaten
Ponorogo,2019,14,14,14,14,3114616,459072,153143,1014260,Kabupaten
