Kota/Kabupaten,Tahun,Produksi Alpukat,Produksi Belimbing,Produksi Jambu Air,Produksi Mangga,Produksi Pepaya,Wilayah
Pacitan,2018,8704,2204,7206,166205,18542,Kabupaten
Ponorogo,2018,24603,7860,3830,668898,91468,Kabupaten
Trenggalek,2018,57248,4549,626,144925,10472,Kabupaten
Tulungagung,2018,37855,70556,2313,97751,99218,Kabupaten
Blitar,2018,69101,134572,1871,65863,68485,Kabupaten
Kediri,2018,37211,26518,40180,1222756,159261,Kabupaten
Malang,2018,318249,59253,7880,172498,515534,Kabupaten
Lumajang,2018,33524,7127,618,108345,251861,Kabupaten
Jember,2018,22191,27838,4859,153528,794057,Kabupaten
Banyuwangi,2018,13935,5094,4616,353863,178222,Kabupaten
Bondowoso,2018,51803,3519,2133,470017,21037,Kabupaten
Situbondo,2018,655,1230,525,158515,5991,Kabupaten
Probolinggo,2018,211209,2207,1289,273511,11658,Kabupaten
Pasuruan,2018,68180,24339,19784,2453522,153892,Kabupaten
Sidoarjo,2018,18,7860,1513,89804,1928,Kabupaten
Mojokerto,2018,12174,6058,2233,166773,7866,Kabupaten
Jombang,2018,2192,8030,7701,270627,20308,Kabupaten
Nganjuk,2018,23012,5079,9410,271814,4590,Kabupaten
Madiun,2018,15857,9095,2820,351114,16805,Kabupaten
Magetan,2018,6758,384,138,252000,9785,Kabupaten
Ngawi,2018,3563,5642,3788,193926,32062,Kabupaten
Bojonegoro,2018,2110,21776,16115,558413,58595,Kabupaten
Tuban,2018,106,23729,1719,379330,18433,Kabupaten
Lamongan,2018,63,4209,3999,285665,11772,Kabupaten
Gresik,2018,251,3771,5329,307556,3919,Kabupaten
Bangkalan,2018,320,397,1187,132055,5337,Kabupaten
Sampang,2018,86,393,17010,256088,2942,Kabupaten
Pamekasan,2018,6020,1069,1593,180427,12051,Kabupaten
Sumenep,2018,330,1038,2015,273292,24232,Kabupaten
Kediri,2018,95,637,105,12285,1098,Kota
Blitar,2018,447,16588,197,3063,4448,Kota
