Kota/Kabupaten;Tahun;Tanaman;Produksi;Wilayah
Pacitan;2018;Alpukat;8704;Kabupaten
Ponorogo;2018;Alpukat;24603;Kabupaten
Trenggalek;2018;Alpukat;57248;Kabupaten
Tulungagung;2018;Alpukat;37855;Kabupaten
Blitar;2018;Alpukat;69101;Kabupaten
Kediri;2018;Alpukat;37211;Kabupaten
Malang;2018;Alpukat;318249;Kabupaten
Lumajang;2018;Alpukat;33524;Kabupaten
Jember;2018;Alpukat;22191;Kabupaten
Banyuwangi;2018;Alpukat;13935;Kabupaten
Bondowoso;2018;Alpukat;51803;Kabupaten
Situbondo;2018;Alpukat;655;Kabupaten
Probolinggo;2018;Alpukat;211209;Kabupaten
Pasuruan;2018;Alpukat;68180;Kabupaten
Sidoarjo;2018;Alpukat;18;Kabupaten
Mojokerto;2018;Alpukat;12174;Kabupaten
Jombang;2018;Alpukat;2192;Kabupaten
Nganjuk;2018;Alpukat;23012;Kabupaten
Madiun;2018;Alpukat;15857;Kabupaten
Magetan;2018;Alpukat;6758;Kabupaten
Ngawi;2018;Alpukat;3563;Kabupaten
Bojonegoro;2018;Alpukat;2110;Kabupaten
Tuban;2018;Alpukat;106;Kabupaten
Lamongan;2018;Alpukat;63;Kabupaten
Gresik;2018;Alpukat;251;Kabupaten
Bangkalan;2018;Alpukat;320;Kabupaten
Sampang;2018;Alpukat;86;Kabupaten
Pamekasan;2018;Alpukat;6020;Kabupaten
Sumenep;2018;Alpukat;330;Kabupaten
Kediri;2018;Alpukat;95;Kota
Blitar;2018;Alpukat;447;Kota
Malang;2018;Alpukat;70;Kota
Probolinggo;2018;Alpukat;47;Kota
Pasuruan;2018;Alpukat;168;Kota
Mojokerto;2018;Alpukat;6758;Kota
Madiun;2018;Alpukat;6758;Kota
Surabaya;2018;Alpukat;6758;Kota
Batu;2018;Alpukat;55652;Kota
Pacitan;2019;Alpukat;11272;Kabupaten
Ponorogo;2019;Alpukat;34187;Kabupaten
Trenggalek;2019;Alpukat;15412;Kabupaten
Tulungagung;2019;Alpukat;32436;Kabupaten
Blitar;2019;Alpukat;80165;Kabupaten
Kediri;2019;Alpukat;72820;Kabupaten
Malang;2019;Alpukat;350905;Kabupaten
Lumajang;2019;Alpukat;25036;Kabupaten
Jember;2019;Alpukat;20261;Kabupaten
Banyuwangi;2019;Alpukat;11894;Kabupaten
Bondowoso;2019;Alpukat;47569;Kabupaten
Situbondo;2019;Alpukat;1915;Kabupaten
Probolinggo;2019;Alpukat;75841;Kabupaten
Pasuruan;2019;Alpukat;74235;Kabupaten
Sidoarjo;2019;Alpukat;1;Kabupaten
Mojokerto;2019;Alpukat;9290;Kabupaten
Jombang;2019;Alpukat;2083;Kabupaten
Nganjuk;2019;Alpukat;62315;Kabupaten
Madiun;2019;Alpukat;10803;Kabupaten
Magetan;2019;Alpukat;4789;Kabupaten
Ngawi;2019;Alpukat;7057;Kabupaten
Bojonegoro;2019;Alpukat;549;Kabupaten
Tuban;2019;Alpukat;466;Kabupaten
Lamongan;2019;Alpukat;58;Kabupaten
Gresik;2019;Alpukat;327;Kabupaten
Bangkalan;2019;Alpukat;249;Kabupaten
Sampang;2019;Alpukat;176;Kabupaten
Pamekasan;2019;Alpukat;1860;Kabupaten
Sumenep;2019;Alpukat;286;Kabupaten
Kediri;2019;Alpukat;597;Kota
Blitar;2019;Alpukat;624;Kota
Malang;2019;Alpukat;185;Kota
Probolinggo;2019;Alpukat;25;Kota
Pasuruan;2019;Alpukat;160;Kota
Mojokerto;2019;Alpukat;5923;Kota
Madiun;2019;Alpukat;5923;Kota
Surabaya;2019;Alpukat;16;Kota
Batu;2019;Alpukat;57232;Kota
Pacitan;2020;Alpukat;16846;Kabupaten
Ponorogo;2020;Alpukat;63364;Kabupaten
Trenggalek;2020;Alpukat;30536;Kabupaten
