Kota/Kabupaten,Tahun,Luas Panen Bawang Merah,Luas Panen Cabai Besar,Luas Panen Cabai Rawit,Luas Panen Sawi,Luas Panen Tomat,Wilayah
Pacitan,2018,17,273,181,38,8,Kabupaten
Ponorogo,2018,731,79,601,480,33,Kabupaten
Trenggalek,2018,19,39,103,30,13,Kabupaten
Tulungagung,2018,202,97,212,135,34,Kabupaten
Blitar,2018,95,1554,11044,87,138,Kabupaten
Kediri,2018,1814,803,6977,176,434,Kabupaten
Malang,2018,4743,2487,3893,2266,1301,Kabupaten
Lumajang,2018,4,547,1393,329,376,Kabupaten
Jember,2018,22,611,2807,205,124,Kabupaten
Banyuwangi,2018,338,1312,5728,81,210,Kabupaten
Bondowoso,2018,94,17,2388,21,139,Kabupaten
Situbondo,2018,305,165,3243,55,33,Kabupaten
Probolinggo,2018,7234,289,3093,174,56,Kabupaten
Pasuruan,2018,17,63,136,27,72,Kabupaten
Sidoarjo,2018,14,11,6,669,1,Kabupaten
Mojokerto,2018,450,43,2770,59,49,Kabupaten
Jombang,2018,201,34,522,39,18,Kabupaten
Nganjuk,2018,13541,364,1279,46,1,Kabupaten
Madiun,2018,98,19,20,55,9,Kabupaten
Magetan,2018,313,236,177,595,247,Kabupaten
Ngawi,2018,217,240,107,51,69,Kabupaten
Bojonegoro,2018,3177,235,662,69,79,Kabupaten
Tuban,2018,224,1370,9766,26,139,Kabupaten
Lamongan,2018,115,91,3773,8,24,Kabupaten
Gresik,2018,15,260,1542,55,78,Kabupaten
Bangkalan,2018,7,90,411,6,22,Kabupaten
Sampang,2018,3447,10,3173,55,32,Kabupaten
Pamekasan,2018,2667,357,2451,19,27,Kabupaten
Sumenep,2018,557,213,1551,8,38,Kabupaten
Kediri,2018,2922,5,6,55,43.5,Kota
Blitar,2018,2922,39,95,4,43.5,Kota
Malang,2018,1,38,13,12,43.5,Kota
Probolinggo,2018,448,1,97,55,3,Kota
Pasuruan,2018,2922,165,662,55,43.5,Kota
Mojokerto,2018,2922,165,662,55,43.5,Kota
Madiun,2018,2922,165,662,55,43.5,Kota
Surabaya,2018,2922,42,20,37,22,Kota
Batu,2018,379,255,253,342,171,Kota
Pacitan,2019,32,396,197,38,13,Kabupaten
Ponorogo,2019,201,78,609,240,56,Kabupaten
Trenggalek,2019,28,39,169,54,1,Kabupaten
Tulungagung,2019,214,119,208,137,59,Kabupaten
Blitar,2019,140,1387,11024,86,144,Kabupaten
Kediri,2019,2068,507,7333,139,540,Kabupaten
Malang,2019,4752,2243,4495,2267,1837,Kabupaten
Lumajang,2019,14,639,1273,319,308,Kabupaten
Jember,2019,4,549,2329,149,135,Kabupaten
Banyuwangi,2019,535,1217,4271,94,226,Kabupaten
Bondowoso,2019,38,5,1564,30,102,Kabupaten
Situbondo,2019,277,130,3149,55,27,Kabupaten
Probolinggo,2019,7465,248,3689,79,118,Kabupaten
Pasuruan,2019,28,130,170,25,51,Kabupaten
Sidoarjo,2019,17,18,3,729,9,Kabupaten
Mojokerto,2019,327,15,3479,55,57,Kabupaten
Jombang,2019,126,76,430,41,32,Kabupaten
Nganjuk,2019,13861,138,842,33,7,Kabupaten
Madiun,2019,57,17,15,55,4,Kabupaten
Magetan,2019,299,495,122,635,252,Kabupaten
Ngawi,2019,236,269,136,65,84,Kabupaten
Bojonegoro,2019,3629,225,596,76,25,Kabupaten
Tuban,2019,197,1778,8796,18,157,Kabupaten
Lamongan,2019,57,59,3337,5,35,Kabupaten
Gresik,2019,21,421,1566,48,62,Kabupaten
Bangkalan,2019,8,36,591,1,4,Kabupaten
Sampang,2019,3995,19,1882,55,35,Kabupaten
